zip_code,start_date,appts,listings
78005,2019-12-16,2,1.0
78005,2020-01-01,10,3.0
78005,2020-01-16,8,3.0
78005,2020-02-01,4,2.0
78005,2020-02-16,7,2.0
78005,2020-03-01,3,1.0
78005,2020-03-16,3,1.0
78005,2020-04-01,5,1.0
78005,2020-04-16,7,3.0
78005,2020-05-01,5,3.0
78005,2020-05-16,4,1.0
78005,2020-06-01,4,2.0
78005,2020-06-16,3,2.0
78005,2020-07-01,1,1.0
78005,2020-07-16,2,2.0
78005,2020-08-16,1,1.0
78005,2020-09-01,5,2.0
78005,2020-09-16,5,4.0
78005,2020-10-01,1,1.0
78005,2020-10-16,6,4.0
78005,2020-11-16,8,2.0
78005,2020-12-01,1,1.0
78006,2018-01-01,358,140.000000003
78006,2018-01-16,395,150.99999998377274
78006,2018-02-01,462,173.00000000553632
78006,2018-02-16,419,153.99999997412502
78006,2018-03-01,560,198.9999999855357
78006,2018-03-16,627,209.99999999532645
78006,2018-04-01,510,198.00000000609253
78006,2018-04-16,526,207.9999999820258
78006,2018-05-01,477,189.99999999123543
78006,2018-05-16,522,203.00000001236364
78006,2018-06-01,532,210.00000001594734
78006,2018-06-16,581,214.99999999287502
78006,2018-07-01,622,207.00000000146116
78006,2018-07-16,627,216.99999999909343
78006,2018-08-01,463,178.00000002298705
78006,2018-08-16,517,202.00000003659906
78006,2018-09-01,423,188.99999996381624
78006,2018-09-16,386,172.0000000215879
78006,2018-10-01,313,158.00000001307143
78006,2018-10-16,397,168.00000002309415
78006,2018-11-01,364,166.00000002555845
78006,2018-11-16,449,167.00000001942237
78006,2018-12-01,383,157.000000029641
78006,2018-12-16,300,130.99999999630842
78006,2019-01-01,522,158.99999997965014
78006,2019-01-16,457,152.0000000042857
78006,2019-02-01,479,166.0000000317786
78006,2019-02-16,413,153.0000000012671
78006,2019-03-01,514,175.99999998555714
78006,2019-03-16,654,213.9999999872156
78006,2019-04-01,626,214.9999999753776
78006,2019-04-16,579,200.99999998651467
78006,2019-05-01,514,195.99999997740127
78006,2019-05-16,605,227.00000001525942
78006,2019-06-01,764,244.99999995444043
78006,2019-06-16,623,230.00000000070054
78006,2019-07-01,614,228.99999999661185
78006,2019-07-16,673,225.00000000163965
78006,2019-08-01,523,196.00000001189773
78006,2019-08-16,574,193.00000000199842
78006,2019-09-01,449,185.00000005062847
78006,2019-09-16,500,203.00000003064287
78006,2019-10-01,493,194.00000001917223
78006,2019-10-16,438,169.9999999924708
78006,2019-11-01,395,175.00000002280842
78006,2019-11-16,419,172.99999998840937
78006,2019-12-01,388,160.99999999410716
78006,2019-12-16,313,137.00000001682145
78006,2020-01-01,390,147.99999999657143
78006,2020-01-16,562,181.00000000858043
78006,2020-02-01,589,183.999999992668
78006,2020-02-16,486,178.0000000054448
78006,2020-03-01,502,179.99999999513813
78006,2020-03-16,331,144.00000001709415
78006,2020-04-01,290,130.00000000707143
78006,2020-04-16,441,171.9999999995763
78006,2020-05-01,596,220.0000000178905
78006,2020-05-16,740,233.0000000010787
78006,2020-06-01,701,261.0000000338443
78006,2020-06-16,758,236.9999999924148
78006,2020-07-01,771,233.0000000122392
78006,2020-07-16,743,223.00000000206956
78006,2020-08-01,761,248.00000001064166
78006,2020-08-16,715,236.99999999623375
78006,2020-09-01,802,223.9999999948084
78006,2020-09-16,659,213.00000001460043
78006,2020-10-01,659,207.9999999905688
78006,2020-10-16,729,206.00000001507576
78006,2020-11-01,606,169.00000002544775
78006,2020-11-16,571,170.00000000592647
78006,2020-12-01,561,161.00000002308929
78009,2018-01-01,49,13.0
78009,2018-01-16,59,16.0
78009,2018-02-01,47,14.0
78009,2018-02-16,44,12.0
78009,2018-03-01,78,15.0
78009,2018-03-16,42,15.0
78009,2018-04-01,31,11.0
78009,2018-04-16,36,19.0
78009,2018-05-01,20,13.0
78009,2018-05-16,14,7.0
78009,2018-06-01,27,12.0
78009,2018-06-16,39,16.0
78009,2018-07-01,47,21.0
78009,2018-07-16,49,20.0
78009,2018-08-01,48,21.0
78009,2018-08-16,32,16.0
78009,2018-09-01,23,15.0
78009,2018-09-16,24,14.0
78009,2018-10-01,8,7.0
78009,2018-10-16,42,15.0
78009,2018-11-01,46,24.0
78009,2018-11-16,29,15.0
78009,2018-12-01,27,14.0
78009,2018-12-16,28,17.0
78009,2019-01-01,30,15.0
78009,2019-01-16,49,18.0
78009,2019-02-01,31,17.0
78009,2019-02-16,23,13.0
78009,2019-03-01,19,14.0
78009,2019-03-16,37,17.0
78009,2019-04-01,30,17.0
78009,2019-04-16,33,18.0
78009,2019-05-01,38,18.0
78009,2019-05-16,41,19.0
78009,2019-06-01,21,10.0
78009,2019-06-16,22,11.0
78009,2019-07-01,32,20.0
78009,2019-07-16,37,17.0
78009,2019-08-01,39,18.0
78009,2019-08-16,35,17.0
78009,2019-09-01,35,18.0
78009,2019-09-16,24,17.0
78009,2019-10-01,21,11.0
78009,2019-10-16,22,12.0
78009,2019-11-01,46,22.0
78009,2019-11-16,54,26.0
78009,2019-12-01,55,22.0
78009,2019-12-16,47,22.0
78009,2020-01-01,42,22.0
78009,2020-01-16,59,25.0
78009,2020-02-01,30,15.0
78009,2020-02-16,49,18.0
78009,2020-03-01,26,17.0
78009,2020-03-16,16,11.0
78009,2020-04-01,28,15.0
78009,2020-04-16,66,26.000000003
78009,2020-05-01,89,24.0
78009,2020-05-16,94,20.000000002307694
78009,2020-06-01,67,18.0
